Date,HStart,HEnd,Matière,Type,Location,Groupe,Enseignant,,,,,,,
2024-01-22:,12:00:00,15:00:00,SAE13,TP2,C1,1ATP2,CAPALLERA FLORENCE,,(Updated,27/11/2023 15,49),,,
2023-10-09:,13:30:00,15:30:00,Web1,TDC,B1bis,1ATDC,PERRIOT ROMAIN,,(Updated,25/09/2023 17,09),,,
2024-01-29:,12:30:00,13:30:00,Admin_Sys2,Cours,A5-A5bis,1A,HERNANDEZ SEBASTIEN,,(Updated,09/01/2024 09,57),,,
2024-01-08:,12:30:00,14:30:00,Prog1,TP4,C5,1ATP4,PERRIOT ROMAIN,,(Updated,27/11/2023 15,02),,,
2023-09-27:,11:30:00,13:30:00,Prog1,TP4,C5,1ATP4,PERRIOT ROMAIN,,(Updated,26/09/2023 12,48),,,
2024-01-29:,07:00:00,08:00:00,Web2,Cours,A5-A5bis,1A,HABACHI OUSSAMA,,(Updated,09/01/2024 10,12),,,
2023-09-15:,11:30:00,13:30:00,Telecom1,TDB,A5,1ATDB,CAPALLERA FLORENCE,,(Updated,10/07/2023 13,04),,,
2024-01-12:,12:30:00,14:30:00,SAE15,TDB-PT,"C1bis,C5",1ATDB,,(Updated,27/11/2023 16,18),,,,
2023-11-08:,15:30:00,18:30:00,Init-Rés1,TP1,B8,1ATP1,BROS LAURENT,,(Updated,19/10/2023 16,50),,,
2023-10-11:,08:00:00,10:00:00,Math-Signal1,TDB,A6,1ATDB,COURSIMAULT DAVID,,(Updated,25/09/2023 16,26),,,
2023-12-06:,12:30:00,14:30:00,RLAN1,TDB,C5,1ATDB,FREITAS ANTONIO,,(Updated,09/11/2023 16,02),,,
2023-10-06:,06:00:00,08:00:00,Math-Signal1,TDA,A5bis,1ATDA,MATAR HOUSSEIN,,(Updated,25/09/2023 11,14),,,
2023-10-10:,14:00:00,17:00:00,Init-Rés1,TP3,C7,1ATP3,DELOS HUGO,,(Updated,20/11/2023 10,24),,,
2023-12-14:,09:00:00,11:00:00,Prog1,TP3,B8,1ATP3,ZAYENE MARIEM,,(Updated,09/11/2023 16,20),,,
